,Ensemble,Activation function,# of hidden layers,Neurons per layer,Accuracy,Precision,Recall,F1
142,log_reg,relu,25,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
143,log_reg,relu,25,20,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
144,knn,identity,1,1,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
145,knn,identity,1,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
146,knn,identity,1,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
147,knn,identity,10,1,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
148,knn,identity,10,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
149,knn,identity,10,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
150,knn,identity,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
151,knn,identity,25,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
152,knn,identity,25,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
153,knn,logistic,1,1,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
154,knn,logistic,1,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
155,knn,logistic,1,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
156,knn,logistic,10,1,0.48971915747241723,0.0,0.0,0.0
157,knn,logistic,10,10,0.48971915747241723,0.0,0.0,0.0
158,knn,logistic,10,20,0.48971915747241723,0.0,0.0,0.0
159,knn,logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
160,knn,logistic,25,10,0.48971915747241723,0.0,0.0,0.0
161,knn,logistic,25,20,0.48971915747241723,0.0,0.0,0.0
162,knn,tanh,1,1,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
163,knn,tanh,1,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
164,knn,tanh,1,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
165,knn,tanh,10,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
166,knn,tanh,10,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
167,knn,tanh,10,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
168,knn,tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
169,knn,tanh,25,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
170,knn,tanh,25,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
171,knn,relu,1,1,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
172,knn,relu,1,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
173,knn,relu,1,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
174,knn,relu,10,1,0.48971915747241723,0.0,0.0,0.0
175,knn,relu,10,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
176,knn,relu,10,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
177,knn,relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
178,knn,relu,25,10,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
179,knn,relu,25,20,0.8896690070210632,0.8884559181685339,0.8963144963144963,0.8923679060665364
180,"ridge, svm",identity,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
181,"ridge, svm",identity,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
182,"ridge, svm",identity,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
183,"ridge, svm",identity,10,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
184,"ridge, svm",identity,10,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
185,"ridge, svm",identity,10,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
186,"ridge, svm",identity,25,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
187,"ridge, svm",identity,25,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
188,"ridge, svm",identity,25,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
189,"ridge, svm",logistic,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
190,"ridge, svm",logistic,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
191,"ridge, svm",logistic,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
192,"ridge, svm",logistic,10,1,0.48971915747241723,0.0,0.0,0.0
193,"ridge, svm",logistic,10,10,0.48971915747241723,0.0,0.0,0.0
194,"ridge, svm",logistic,10,20,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
195,"ridge, svm",logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
196,"ridge, svm",logistic,25,10,0.48971915747241723,0.0,0.0,0.0
197,"ridge, svm",logistic,25,20,0.48971915747241723,0.0,0.0,0.0
198,"ridge, svm",tanh,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
199,"ridge, svm",tanh,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
200,"ridge, svm",tanh,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
201,"ridge, svm",tanh,10,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
202,"ridge, svm",tanh,10,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
203,"ridge, svm",tanh,10,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
204,"ridge, svm",tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
205,"ridge, svm",tanh,25,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
206,"ridge, svm",tanh,25,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
207,"ridge, svm",relu,1,1,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
208,"ridge, svm",relu,1,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
209,"ridge, svm",relu,1,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
210,"ridge, svm",relu,10,1,0.48971915747241723,0.0,0.0,0.0
211,"ridge, svm",relu,10,10,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
212,"ridge, svm",relu,10,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
213,"ridge, svm",relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
214,"ridge, svm",relu,25,10,0.48971915747241723,0.0,0.0,0.0
215,"ridge, svm",relu,25,20,0.936308926780341,0.9454727363681841,0.9287469287469288,0.9370352007932573
216,"ridge, neural_network",identity,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
217,"ridge, neural_network",identity,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
218,"ridge, neural_network",identity,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
219,"ridge, neural_network",identity,10,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
220,"ridge, neural_network",identity,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
221,"ridge, neural_network",identity,10,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
222,"ridge, neural_network",identity,25,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
223,"ridge, neural_network",identity,25,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
224,"ridge, neural_network",identity,25,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
225,"ridge, neural_network",logistic,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
226,"ridge, neural_network",logistic,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
227,"ridge, neural_network",logistic,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
228,"ridge, neural_network",logistic,10,1,0.48971915747241723,0.0,0.0,0.0
229,"ridge, neural_network",logistic,10,10,0.48971915747241723,0.0,0.0,0.0
230,"ridge, neural_network",logistic,10,20,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
231,"ridge, neural_network",logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
232,"ridge, neural_network",logistic,25,10,0.48971915747241723,0.0,0.0,0.0
233,"ridge, neural_network",logistic,25,20,0.48971915747241723,0.0,0.0,0.0
234,"ridge, neural_network",tanh,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
235,"ridge, neural_network",tanh,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
236,"ridge, neural_network",tanh,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
237,"ridge, neural_network",tanh,10,1,0.9267803410230692,0.9093471113198685,0.9513513513513514,0.9298751200768492
238,"ridge, neural_network",tanh,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
239,"ridge, neural_network",tanh,10,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
240,"ridge, neural_network",tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
241,"ridge, neural_network",tanh,25,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
242,"ridge, neural_network",tanh,25,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
243,"ridge, neural_network",relu,1,1,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
244,"ridge, neural_network",relu,1,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
245,"ridge, neural_network",relu,1,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
246,"ridge, neural_network",relu,10,1,0.48971915747241723,0.0,0.0,0.0
247,"ridge, neural_network",relu,10,10,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
248,"ridge, neural_network",relu,10,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
249,"ridge, neural_network",relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
250,"ridge, neural_network",relu,25,10,0.48971915747241723,0.0,0.0,0.0
251,"ridge, neural_network",relu,25,20,0.9230190571715146,0.9354838709677419,0.912039312039312,0.9236128390146803
252,"ridge, log_reg",identity,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
253,"ridge, log_reg",identity,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
254,"ridge, log_reg",identity,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
255,"ridge, log_reg",identity,10,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
256,"ridge, log_reg",identity,10,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
257,"ridge, log_reg",identity,10,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
258,"ridge, log_reg",identity,25,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
259,"ridge, log_reg",identity,25,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
260,"ridge, log_reg",identity,25,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
261,"ridge, log_reg",logistic,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
262,"ridge, log_reg",logistic,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
263,"ridge, log_reg",logistic,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
264,"ridge, log_reg",logistic,10,1,0.48971915747241723,0.0,0.0,0.0
265,"ridge, log_reg",logistic,10,10,0.48971915747241723,0.0,0.0,0.0
266,"ridge, log_reg",logistic,10,20,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
267,"ridge, log_reg",logistic,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
268,"ridge, log_reg",logistic,25,10,0.48971915747241723,0.0,0.0,0.0
269,"ridge, log_reg",logistic,25,20,0.48971915747241723,0.0,0.0,0.0
270,"ridge, log_reg",tanh,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
271,"ridge, log_reg",tanh,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
272,"ridge, log_reg",tanh,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
273,"ridge, log_reg",tanh,10,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
274,"ridge, log_reg",tanh,10,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
275,"ridge, log_reg",tanh,10,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
276,"ridge, log_reg",tanh,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
277,"ridge, log_reg",tanh,25,10,0.918505516549649,0.9241071428571429,0.9154791154791154,0.9197728955813379
278,"ridge, log_reg",tanh,25,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
279,"ridge, log_reg",relu,1,1,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
280,"ridge, log_reg",relu,1,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
281,"ridge, log_reg",relu,1,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
282,"ridge, log_reg",relu,10,1,0.48971915747241723,0.0,0.0,0.0
283,"ridge, log_reg",relu,10,10,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
284,"ridge, log_reg",relu,10,20,0.9182547642928787,0.9190779794016675,0.9208845208845209,0.9199803632793324
285,"ridge, log_reg",relu,25,1,0.5102808425275828,0.5102808425275828,1.0,0.6757429852233107
286,"ridge, log_reg",relu,25,10,0.48971915747241723,0.0,0.0,0.0
